get along;dar-se bem (com alguém)
look forward to;aguardar ansiosamente
run out of;ficar sem (algo acabar)
give up;desistir
figure out;descobrir / entender
as far as I know;até onde eu sei
by the way;a propósito
in the long run;a longo prazo
make up your mind;decidir-se
take for granted;não dar o devido valor
it's up to you;você que decide
break even;empatar (não ter lucro nem prejuízo)
carry out;executar / realizar
set up;configurar / montar
deal with;lidar com
so far so good;até agora tudo bem
on purpose;de propósito
at first glance;à primeira vista
keep in mind;ter em mente
sort out;resolver / organizar
Back up;Apoiar (alguém) ou fazer cópia de segurança
Blow up;Explodir
Break down;Enguiçar (carro/máquina) ou perder o controle emocional
Break up;Terminar um relacionamento
Bring about;Causar ou provocar (uma mudança)
Call back;Retornar uma ligação
Calm down;Acalmar-se
Catch up;Alcançar o mesmo nível ou colocar a conversa em dia
Cheer up;Alegrar-se ou animar alguém
Clean up;Limpar completamente
Come back;Voltar ou retornar
Come up with;Criar ou inventar (uma ideia/solução)
Count on;Contar com (alguém)
Cut down on;Reduzir o consumo de (algo)
Do over;Refazer (um trabalho/tarefa)
Drop off;Deixar algo/alguém em algum lugar ou pegar no sono
End up;Acabar resultando em ou ir parar em
Fall apart;Desmoronar ou quebrar em pedaços
Figure out;Compreender, entender ou encontrar a solução
Fill out;Preencher (um formulário/documento)
Get by;Se virar ou sobreviver (financeiramente)
Get in;Entrar (em um carro/táxi)
Get out;Sair (de um carro/prédio)
Give back;Devolver
Go over;Revisar ou examinar detalhadamente
Grow up;Crescer (tornar-se adulto)
Hang up;Desligar o telefone
Keep on;Continuar fazendo algo
Let down;Decepcionar alguém
Log in;Conectar-se (a uma conta/sistema)
Log out;Desconectar-se (de uma conta/sistema)
Look up;Pesquisar (uma informação em um dicionário/livro)
Pass out;Desmaiar
Pay back;Pagar de volta ou reembolsar
Put up with;Tolerar ou aguentar
Set up;Configurar, organizar ou estabelecer
Show up;Aparecer ou chegar (a um compromisso)
Take care of;Cuidar de
Try on;Provar (uma roupa/calçado)
Work out;Malhar (fazer exercícios) ou dar certo/funcionar
Bring up;Mencionar (um assunto) ou criar (filhos)
Call off;Cancelar
Carry on;Continuar
Check in;Dar entrada (em hotel/aeroporto)
Check out;Dar saída (de hotel) ou verificar algo
Come across;Esbarrar com ou encontrar por acaso
Find out;Descobrir
Get along;Dar-se bem (com alguém)
Get away;Escapar ou sair de férias
Get over;Superar (um problema ou término)
Get up;Levantar-se
Give up;Desistir
Go on;Continuar
Hold on;Aguardar ou esperar um momento
Look after;Cuidar de
Look for;Procurar
Look forward to;Ansiar por ou aguardar ansiosamente
Make up;Inventar (uma história) ou reconciliar-se
Pick up;Buscar (algo/alguém) ou pegar
Put off;Adiar
Put on;Vestir (roupa/acessório)
Run out of;Ficar sem (algo) ou esgotar o estoque
Take off;Decolar (avião) ou tirar (roupa)
Turn off;Desligar
Turn on;Ligar
Wake up;Acordar
